team_id,team_name,country,city,founded_year,stadium_name,season,rank,played,wins,draws,losses,goals_for,goals_against,points,source_api,ingested_at,schema_version,extra_fields
141,Arsenal,England,London,1886,Emirates Stadium,2023,1,32,21,7,4,62,24,70,api_football,2026-04-14T08:01:06.978006,1,"{""country_name"": ""England"", ""league_name"": ""Premier League"", ""overall_promotion"": ""Promotion - Champions League (League phase)"", ""home_league_position"": ""1"", ""home_promotion"": """", ""home_league_payed"": ""16"", ""home_league_W"": ""12"", ""home_league_D"": ""2"", ""home_league_L"": ""2"", ""home_league_GF"": ""36"", ""home_league_GA"": ""11"", ""home_league_PTS"": ""38"", ""away_league_position"": ""1"", ""away_promotion"": """", ""away_league_payed"": ""16"", ""away_league_W"": ""9"", ""away_league_D"": ""5"", ""away_league_L"": ""2"", ""away_league_GF"": ""26"", ""away_league_GA"": ""13"", ""away_league_PTS"": ""32"", ""team_badge"": ""https://apiv3.apifootball.com/badges/141_arsenal-fc.jpg"", ""fk_stage_key"": ""6"", ""stage_name"": ""Current""}"
80,Manchester City,England,Manchester,1880,Etihad Stadium,2023,2,31,19,7,5,63,28,64,api_football,2026-04-14T08:01:06.978006,1,"{""country_name"": ""England"", ""league_name"": ""Premier League"", ""overall_promotion"": ""Promotion - Champions League (League phase)"", ""home_league_position"": ""2"", ""home_promotion"": """", ""home_league_payed"": ""15"", ""home_league_W"": ""11"", ""home_league_D"": ""3"", ""home_league_L"": ""1"", ""home_league_GF"": ""36"", ""home_league_GA"": ""11"", ""home_league_PTS"": ""36"", ""away_league_position"": ""2"", ""away_promotion"": """", ""away_league_payed"": ""16"", ""away_league_W"": ""8"", ""away_league_D"": ""4"", ""away_league_L"": ""4"", ""away_league_GF"": ""27"", ""away_league_GA"": ""17"", ""away_league_PTS"": ""28"", ""team_badge"": ""https://apiv3.apifootball.com/badges/80_manchester-city.jpg"", ""fk_stage_key"": ""6"", ""stage_name"": ""Current""}"
102,Manchester Utd,England,Manchester,1878,Old Trafford,2023,3,32,15,10,7,57,45,55,api_football,2026-04-14T08:01:06.978006,1,"{""country_name"": ""England"", ""league_name"": ""Premier League"", ""overall_promotion"": ""Promotion - Champions League (League phase)"", ""home_league_position"": ""3"", ""home_promotion"": """", ""home_league_payed"": ""16"", ""home_league_W"": ""10"", ""home_league_D"": ""3"", ""home_league_L"": ""3"", ""home_league_GF"": ""31"", ""home_league_GA"": ""19"", ""home_league_PTS"": ""33"", ""away_league_position"": ""7"", ""away_promotion"": """", ""away_league_payed"": ""16"", ""away_league_W"": ""5"", ""away_league_D"": ""7"", ""away_league_L"": ""4"", ""away_league_GF"": ""26"", ""away_league_GA"": ""26"", ""away_league_PTS"": ""22"", ""team_badge"": ""https://apiv3.apifootball.com/badges/102_manchester-united.jpg"", ""fk_stage_key"": ""6"", ""stage_name"": ""Current""}"
3088,Aston Villa,England,Birmingham,1874,Villa Park,2023,4,32,16,7,9,43,38,55,api_football,2026-04-14T08:01:06.978006,1,"{""country_name"": ""England"", ""league_name"": ""Premier League"", ""overall_promotion"": ""Promotion - Champions League (League phase)"", ""home_league_position"": ""4"", ""home_promotion"": """", ""home_league_payed"": ""16"", ""home_league_W"": ""10"", ""home_league_D"": ""2"", ""home_league_L"": ""4"", ""home_league_GF"": ""23"", ""home_league_GA"": ""15"", ""home_league_PTS"": ""32"", ""away_league_position"": ""6"", ""away_promotion"": """", ""away_league_payed"": ""16"", ""away_league_W"": ""6"", ""away_league_D"": ""5"", ""away_league_L"": ""5"", ""away_league_GF"": ""20"", ""away_league_GA"": ""23"", ""away_league_PTS"": ""23"", ""team_badge"": ""https://apiv3.apifootball.com/badges/3088_aston-villa.jpg"", ""fk_stage_key"": ""6"", ""stage_name"": ""Current""}"
84,Liverpool,England,Liverpool,1892,Anfield,2023,5,32,15,7,10,52,42,52,api_football,2026-04-14T08:01:06.978006,1,"{""country_name"": ""England"", ""league_name"": ""Premier League"", ""overall_promotion"": ""Promotion - Champions League (League phase)"", ""home_league_position"": ""5"", ""home_promotion"": """", ""home_league_payed"": ""16"", ""home_league_W"": ""9"", ""home_league_D"": ""4"", ""home_league_L"": ""3"", ""home_league_GF"": ""29"", ""home_league_GA"": ""17"", ""home_league_PTS"": ""31"", ""away_league_position"": ""8"", ""away_promotion"": """", ""away_league_payed"": ""16"", ""away_league_W"": ""6"", ""away_league_D"": ""3"", ""away_league_L"": ""7"", ""away_league_GF"": ""23"", ""away_league_GA"": ""25"", ""away_league_PTS"": ""21"", ""team_badge"": ""https://apiv3.apifootball.com/badges/84_liverpool.jpg"", ""fk_stage_key"": ""6"", ""stage_name"": ""Current""}"
88,Chelsea,England,London,1905,Stamford Bridge,2023,6,32,13,9,10,53,41,48,api_football,2026-04-14T08:01:06.978006,1,"{""country_name"": ""England"", ""league_name"": ""Premier League"", ""overall_promotion"": ""Promotion - Europa League (League phase)"", ""home_league_position"": ""12"", ""home_promotion"": """", ""home_league_payed"": ""16"", ""home_league_W"": ""6"", ""home_league_D"": ""5"", ""home_league_L"": ""5"", ""home_league_GF"": ""23"", ""home_league_GA"": ""20"", ""home_league_PTS"": ""23"", ""away_league_position"": ""3"", ""away_promotion"": """", ""away_league_payed"": ""16"", ""away_league_W"": ""7"", ""away_league_D"": ""4"", ""away_league_L"": ""5"", ""away_league_GF"": ""30"", ""away_league_GA"": ""21"", ""away_league_PTS"": ""25"", ""team_badge"": ""https://apiv3.apifootball.com/badges/88_chelsea.jpg"", ""fk_stage_key"": ""6"", ""stage_name"": ""Current""}"
3086,Brentford,England,"Brentford, Middlesex",1889,Brentford Community Stadium,2023,7,32,13,8,11,48,44,47,api_football,2026-04-14T08:01:06.978006,1,"{""country_name"": ""England"", ""league_name"": ""Premier League"", ""overall_promotion"": """", ""home_league_position"": ""8"", ""home_promotion"": """", ""home_league_payed"": ""16"", ""home_league_W"": ""7"", ""home_league_D"": ""6"", ""home_league_L"": ""3"", ""home_league_GF"": ""28"", ""home_league_GA"": ""19"", ""home_league_PTS"": ""27"", ""away_league_position"": ""10"", ""away_promotion"": """", ""away_league_payed"": ""16"", ""away_league_W"": ""6"", ""away_league_D"": ""2"", ""away_league_L"": ""8"", ""away_league_GF"": ""20"", ""away_league_GA"": ""25"", ""away_league_PTS"": ""20"", ""team_badge"": ""https://apiv3.apifootball.com/badges/3086_brentford.jpg"", ""fk_stage_key"": ""6"", ""stage_name"": ""Current""}"
3073,Everton,England,Liverpool,1878,Goodison Park,2023,8,32,13,8,11,39,37,47,api_football,2026-04-14T08:01:06.978006,1,"{""country_name"": ""England"", ""league_name"": ""Premier League"", ""overall_promotion"": """", ""home_league_position"": ""14"", ""home_promotion"": """", ""home_league_payed"": ""16"", ""home_league_W"": ""6"", ""home_league_D"": ""4"", ""home_league_L"": ""6"", ""home_league_GF"": ""21"", ""home_league_GA"": ""19"", ""home_league_PTS"": ""22"", ""away_league_position"": ""4"", ""away_promotion"": """", ""away_league_payed"": ""16"", ""away_league_W"": ""7"", ""away_league_D"": ""4"", ""away_league_L"": ""5"", ""away_league_GF"": ""18"", ""away_league_GA"": ""18"", ""away_league_PTS"": ""25"", ""team_badge"": ""https://apiv3.apifootball.com/badges/3073_everton.jpg"", ""fk_stage_key"": ""6"", ""stage_name"": ""Current""}"
3079,Brighton,England,"Falmer, East Sussex",1901,The American Express Community Stadium,2023,9,32,12,10,10,43,37,46,api_football,2026-04-14T08:01:06.978006,1,"{""country_name"": ""England"", ""league_name"": ""Premier League"", ""overall_promotion"": """", ""home_league_position"": ""9"", ""home_promotion"": """", ""home_league_payed"": ""16"", ""home_league_W"": ""7"", ""home_league_D"": ""6"", ""home_league_L"": ""3"", ""home_league_GF"": ""24"", ""home_league_GA"": ""17"", ""home_league_PTS"": ""27"", ""away_league_position"": ""11"", ""away_promotion"": """", ""away_league_payed"": ""16"", ""away_league_W"": ""5"", ""away_league_D"": ""4"", ""away_league_L"": ""7"", ""away_league_GF"": ""19"", ""away_league_GA"": ""20"", ""away_league_PTS"": ""19"", ""team_badge"": ""https://apiv3.apifootball.com/badges/3079_brighton--hove-albion.jpg"", ""fk_stage_key"": ""6"", ""stage_name"": ""Current""}"
3111,Sunderland,England,Sunderland,1879,Stadium of Light,2023,10,32,12,10,10,33,36,46,api_football,2026-04-14T08:01:06.978006,1,"{""country_name"": ""England"", ""league_name"": ""Premier League"", ""overall_promotion"": """", ""home_league_position"": ""6"", ""home_promotion"": """", ""home_league_payed"": ""16"", ""home_league_W"": ""8"", ""home_league_D"": ""5"", ""home_league_L"": ""3"", ""home_league_GF"": ""23"", ""home_league_GA"": ""14"", ""home_league_PTS"": ""29"", ""away_league_position"": ""14"", ""away_promotion"": """", ""away_league_payed"": ""16"", ""away_league_W"": ""4"", ""away_league_D"": ""5"", ""away_league_L"": ""7"", ""away_league_GF"": ""10"", ""away_league_GA"": ""22"", ""away_league_PTS"": ""17"", ""team_badge"": ""https://apiv3.apifootball.com/badges/3111_sunderland.jpg"", ""fk_stage_key"": ""6"", ""stage_name"": ""Current""}"
